week_start_date,warehouse_id,warehouse_name,carrier_id,carrier_name,category_name,issue_type,shipment_count,issue_count,issue_rate_pct,anomaly_count,dominant_anomaly_flag
2018-03-26,WH_CENTRAL_WEST,Central-West FC,CAR_A,Carrier A,informatica_acessorios,none,1,0,0.0,0,none
2018-03-26,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,cama_mesa_banho,none,1,0,0.0,0,none
2018-03-26,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,esporte_lazer,none,1,0,0.0,0,none
2018-03-26,WH_CENTRAL_WEST,Central-West FC,CAR_B,Carrier B,unknown,none,1,0,0.0,0,none
2018-03-26,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,automotivo,none,1,0,0.0,0,none
2018-03-26,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,brinquedos,none,1,0,0.0,0,none
2018-03-26,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,eletronicos,none,1,0,0.0,0,none
2018-03-26,WH_CENTRAL_WEST,Central-West FC,CAR_C,Carrier C,relogios_presentes,none,1,0,0.0,0,none
2018-03-26,WH_CENTRAL_WEST,Central-West FC,CAR_D,Carrier D,telefonia,none,1,0,0.0,0,none
2018-03-26,WH_NORTH,North FC,CAR_A,Carrier A,esporte_lazer,none,1,0,0.0,0,none
2018-03-26,WH_NORTH,North FC,CAR_B,Carrier B,beleza_saude,none,1,0,0.0,0,none
2018-03-26,WH_NORTH,North FC,CAR_C,Carrier C,moveis_decoracao,none,1,0,0.0,0,none
2018-03-26,WH_NORTH,North FC,CAR_D,Carrier D,papelaria,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_A,Carrier A,automotivo,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_A,Carrier A,beleza_saude,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_A,Carrier A,dvds_blu_ray,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_A,Carrier A,eletronicos,none,2,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_A,Carrier A,esporte_lazer,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_A,Carrier A,fashion_bolsas_e_acessorios,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_A,Carrier A,instrumentos_musicais,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_B,Carrier B,automotivo,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_B,Carrier B,cama_mesa_banho,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_B,Carrier B,construcao_ferramentas_construcao,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_B,Carrier B,esporte_lazer,none,2,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_B,Carrier B,fashion_calcados,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_B,Carrier B,livros_interesse_geral,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_B,Carrier B,relogios_presentes,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_B,Carrier B,utilidades_domesticas,none,2,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_C,Carrier C,beleza_saude,none,2,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_C,Carrier C,consoles_games,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_C,Carrier C,esporte_lazer,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_C,Carrier C,fashion_bolsas_e_acessorios,none,2,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_C,Carrier C,informatica_acessorios,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_C,Carrier C,informatica_acessorios,wrong,1,1,100.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_C,Carrier C,papelaria,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_C,Carrier C,relogios_presentes,damaged,1,1,100.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_C,Carrier C,relogios_presentes,failed,1,1,100.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_C,Carrier C,telefonia,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_D,Carrier D,automotivo,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_D,Carrier D,eletrodomesticos,none,1,0,0.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_D,Carrier D,pet_shop,wrong,1,1,100.0,0,none
2018-03-26,WH_SOUTH,South FC,CAR_D,Carrier D,relogios_presentes,none,1,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,artigos_de_natal,none,1,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,automotivo,none,1,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,automotivo,refund,1,1,100.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,automotivo,wrong,1,1,100.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,bebes,none,3,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,beleza_saude,none,2,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,cama_mesa_banho,none,4,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,eletronicos,none,1,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,eletroportateis,none,2,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,esporte_lazer,damaged,1,1,100.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,esporte_lazer,failed,1,1,100.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,esporte_lazer,none,3,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,ferramentas_jardim,none,2,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,ferramentas_jardim,refund,1,1,100.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,informatica_acessorios,missing,1,1,100.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,informatica_acessorios,none,3,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,instrumentos_musicais,none,1,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,malas_acessorios,none,1,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,moveis_decoracao,none,2,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,moveis_escritorio,none,1,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,moveis_sala,none,1,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,perfumaria,none,3,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,pet_shop,none,3,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,relogios_presentes,none,3,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,telefonia,none,5,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_A,Carrier A,utilidades_domesticas,none,3,0,0.0,0,none
2018-03-26,WH_SOUTHEAST,Southeast FC,CAR_B,Carrier B,automotivo,none,2,0,0.0,2,ANOM_SPIKE_001
