order_id,carrier_id,carrier_name
53cdb2fc8bc7dce0b6741e2150273451,CAR_C,Carrier C
47770eb9100c2d0c44946d9cf07ec65d,CAR_D,Carrier D
82566a660a982b15fb86e904c8d32918,CAR_B,Carrier B
5ff96c15d0b717ac6ad1f3d77225a350,CAR_A,Carrier A
dcb36b511fcac050b97cd5c05de84dc3,CAR_D,Carrier D
f3e7c359154d965827355f39d6b1fdac,CAR_C,Carrier C
acce194856392f074dbf9dada14d8d82,CAR_B,Carrier B
91b2a010e1e45e6ba3d133fa997597be,CAR_A,Carrier A
1790eea0b567cf50911c057cf20f90f9,CAR_C,Carrier C
b276e4f8c0fb86bd82fce576f21713e0,CAR_C,Carrier C
434d158e96bdd6972ad6e6d73ddcfd22,CAR_B,Carrier B
d22e9fa5731b9e30e8b27afcdc2f8563,CAR_B,Carrier B
ee64d42b8cf066f35eac1cf57de1aa85,CAR_A,Carrier A
25f4376934e13d3508486352e11a5db0,CAR_A,Carrier A
5820a1100976432c7968a52da59e9364,CAR_B,Carrier B
47aa4816b27ba60ec948cd019cc1afc1,CAR_C,Carrier C
9faeb9b2746b9d7526aef5acb08e2aa0,CAR_D,Carrier D
40c5e18f7d112b59b3e5113a59a905b3,CAR_B,Carrier B
734e7d1bbaeb2ff82521ca0fe6fb6f79,CAR_A,Carrier A
f346ad4ee8f630e5e4ddaf862a34e6dd,CAR_D,Carrier D
688052146432ef8253587b930b01a06d,CAR_C,Carrier C
68e48e68da1f50f7c5838ea75e3a20dd,CAR_B,Carrier B
b52cc4919de82b4d696a4380d10804a3,CAR_D,Carrier D
fdf128b3630c21adc9ca4fb8a51b68ec,CAR_C,Carrier C
fa516182d28f96f5f5c651026b0749ee,CAR_B,Carrier B
bd4bd0194d6d29f83b8557d4b89b572a,CAR_A,Carrier A
6d25592267349b322799e2beb687871e,CAR_A,Carrier A
9defaf92cff22420e4e8ef7784815a55,CAR_D,Carrier D
0e782c3705510e717d28907746cbda82,CAR_D,Carrier D
86f21bf63784876b9fd6d35f46581d72,CAR_A,Carrier A
f169bd689fb8b32ccd62df9050aebc0b,CAR_B,Carrier B
77e9941864fc840be8e4b1ba5347c0f7,CAR_D,Carrier D
41bb5cee06dbf170878a9ef93ac7e7f5,CAR_A,Carrier A
23f553848a03aaab35bb3f9f87725125,CAR_A,Carrier A
e3447938231fb6ba2fee0231b51eca59,CAR_B,Carrier B
a5474c0071dd5d1074e12d417078bbd0,CAR_C,Carrier C
0760a852e4e9d89eb77bf631eaaf1c84,CAR_C,Carrier C
80d817467dc3d0a4bb5ab8986c962b1f,CAR_C,Carrier C
c75acba615d2db29345327974641467d,CAR_C,Carrier C
210e60465099814a1d2c7635e4065153,CAR_C,Carrier C
0c6b011f8a4f87010c23995f5807d152,CAR_B,Carrier B
e37797aedc7cd4ef82278fbc169eecaf,CAR_A,Carrier A
5164933efe0cd14f31424b9badf81f19,CAR_B,Carrier B
65312c6e4ce03c0fb633a4ac541949d8,CAR_D,Carrier D
89165e6d4c28047da0adf13ac8b3e1b3,CAR_A,Carrier A
4b87488fb6269f8321508923b95da4d6,CAR_B,Carrier B
9344ccd01ff5fa7ec2aef0ee7e1c49c3,CAR_B,Carrier B
f4471dae8c482f51aa1826cd9f5d4433,CAR_B,Carrier B
90349f264a3d6a2525a34598d09dda6b,CAR_A,Carrier A
95cf9f239f724799131f7ca949209bd9,CAR_B,Carrier B
5c2d1d55c31db1cbe069dc9b6454b897,CAR_A,Carrier A
14e6e050a57912543937e93051cc7b2c,CAR_B,Carrier B
cefa8ee1540139ac77fa0c1b4ff1f04b,CAR_B,Carrier B
e69e2290db6b2d3b7593a40112e1a82a,CAR_A,Carrier A
c8627adf430caff83161acbeb344d8f5,CAR_C,Carrier C
a7cd6af6e0519313887b3c3a120f20ca,CAR_D,Carrier D
663830a477534735bbdec9de01113fa2,CAR_B,Carrier B
b2f3763408103bc7173bb36ed02dbeea,CAR_D,Carrier D
5561adcb0fd46da4cad3048fa4e7fc00,CAR_A,Carrier A
ce9feeba53c652dd6569cca62e2bb287,CAR_B,Carrier B
36ebb4199031e72a1fa964549b88c377,CAR_A,Carrier A
b0928556a10706af462ca2ab2c91903b,CAR_C,Carrier C
b6b3633f97c686d8e188ac6fa29ff20d,CAR_B,Carrier B
6d7de866a140b19d09e825b2a4e944c7,CAR_A,Carrier A
3f849648ffbabb0562c7668f212e3e88,CAR_B,Carrier B
7c18eddfcd24680d80a502346221614e,CAR_C,Carrier C
58d4c4747ee059eeeb865b349b41f53a,CAR_C,Carrier C
287c56aa824d8d1ea40246ad12013f62,CAR_C,Carrier C
694630e7a7713c116a9b7f0ba3377382,CAR_B,Carrier B
412fccb2b44a99b36714bca3fef8ad7b,CAR_B,Carrier B
67b47f35ec923e39f1203f3cfa80f5e3,CAR_C,Carrier C
b616f638cd86d92c7cbd06cf7484ee34,CAR_A,Carrier A
f90202d14e468090464aeb4b1f0372ab,CAR_B,Carrier B
615ae1b88a25a4ac47fbf55c9c847b6e,CAR_A,Carrier A
52f166ce5fa053bbb27d317e4fd231b7,CAR_A,Carrier A
908e767e28908dc5ec61fe0ef8ef03f9,CAR_A,Carrier A
c82a457d646f77c8f151e12a3e517ed2,CAR_C,Carrier C
edc531c3153d23614049077e7e1e6405,CAR_B,Carrier B
1e8c81805b92ff169971231458670460,CAR_C,Carrier C
5ec8f4e8fe5ee3fd5460b244d0804f9e,CAR_D,Carrier D
434d3eec8dd031c322077fb2452e53a0,CAR_D,Carrier D
3ef7c7b43ae449415675a6c34720b78e,CAR_B,Carrier B
d86359a45e3f6c6d8b35f7b13e41abf5,CAR_A,Carrier A
c228d309379c3ae545cc6ca2d5aae1b2,CAR_C,Carrier C
f419e615bbdeb34741d4bdd661ff8599,CAR_A,Carrier A
638f79643fd5681c6e6c6ef1f1ab700d,CAR_C,Carrier C
86e574a0701d15590bf31783bc7de5dc,CAR_A,Carrier A
f11b36b3bc7bacf06deef862ed611f02,CAR_A,Carrier A
4eeecb9e657525024b9b538730c5f974,CAR_B,Carrier B
6f954a919130aa1e8def4ed1b9fca432,CAR_C,Carrier C
f93af565de05d2427790ad8d0368a80e,CAR_D,Carrier D
3f3913e8c7fd221ac82a34ffa20b93ee,CAR_A,Carrier A
955ea2e3177592d909296220d7fcdebd,CAR_B,Carrier B
4bb6e6f5af26e1f5951d934386615406,CAR_A,Carrier A
c4d2f075fc3bf3a06d1e68e113c35cbd,CAR_B,Carrier B
ebc8d4b1397747291b758772e9d87984,CAR_B,Carrier B
5691d72069359cd293ac9a14f1bd5e9b,CAR_B,Carrier B
884cb4ce4a06390d35206de06f785d13,CAR_D,Carrier D
d9cfa4b0f995deb2fa9758d5534e1d13,CAR_B,Carrier B
3b4ad687e7e5190db827e1ae5a8989dd,CAR_C,Carrier C
0b584b729bdfec204ec2aa5d21d6ca56,CAR_C,Carrier C
d74d2985a4c187334dc59722076a2e5f,CAR_A,Carrier A
fb6ba131bbeb30fd6db9c8900b5c5b92,CAR_A,Carrier A
7ac1f3de2cdc809de6aa1e6719451f53,CAR_A,Carrier A
aa466a92af916f9f68e56fce7d3a21b1,CAR_C,Carrier C
7d2286ec219f58023352077d938dee48,CAR_A,Carrier A
ec1fc57b72a7bbe5b32f9c606510db76,CAR_C,Carrier C
74c951ce0835b2741d3014321ae9c480,CAR_B,Carrier B
b75b4f6e7c5fe3fa05707992a88d9d38,CAR_B,Carrier B
2b72a32a2c3e93fa260ca7655073886f,CAR_A,Carrier A
a7076e7aba13de8b66d95a55811290ed,CAR_B,Carrier B
6f5a2dbe5ccce73a9d053a542baabd1c,CAR_C,Carrier C
2babe10ce6bcb68b1e3bd35e24424466,CAR_A,Carrier A
ac64f79a33bfa575fc5a17e7926df3d5,CAR_A,Carrier A
858505c5992f35429d07aae37bad60a8,CAR_A,Carrier A
6cb134bb285a64b0425d1fdaa00d4214,CAR_C,Carrier C
4d4ef6cd8147028ffd8c18dc0f6e3050,CAR_C,Carrier C
0438fc3e115633e11a93c878a1591016,CAR_C,Carrier C
0b0f3c7a9bcb6ad1fccab28f9240da6f,CAR_D,Carrier D
65f78a0e1f8b80c4f6d8d5c6073b8601,CAR_D,Carrier D
b52d29abb97a3978df1d8922bfe36fbe,CAR_A,Carrier A
0c228d925a49aa5e3b35febb948f4f72,CAR_A,Carrier A
0341b60065c49221a27293793f11b117,CAR_A,Carrier A
25ebb07a1069a75d3cb9baf0a94f22d0,CAR_A,Carrier A
c2d07d9078b700b9198a126183867c16,CAR_B,Carrier B
32bda40452bf0485c310bca24eb53886,CAR_B,Carrier B
b335cf4d393acc627b82e83b3b3711fe,CAR_D,Carrier D
15fb9c745e91eff5482a9af2a5fad0e6,CAR_D,Carrier D
141ad0192cfa16174e4fd0a1a7e7ba4a,CAR_C,Carrier C
5869074071e0f56e9085dc3742c97b2a,CAR_A,Carrier A
e5d931ebd7214cd492fff71fb6a2aeff,CAR_C,Carrier C
d10090be5f75fb89b6817469f0ce1a30,CAR_B,Carrier B
72ee4a26e767e55282ac10e63c7b1227,CAR_A,Carrier A
6cd474b81add3c3d62536cab3e34aa23,CAR_C,Carrier C
59b32faedc12322c672e95ec3716d614,CAR_D,Carrier D
