order_id,category_name,sla_tier,sla_target_days
53cdb2fc8bc7dce0b6741e2150273451,perfumaria,fast,3
47770eb9100c2d0c44946d9cf07ec65d,automotivo,standard,5
82566a660a982b15fb86e904c8d32918,perfumaria,fast,3
5ff96c15d0b717ac6ad1f3d77225a350,cama_mesa_banho,bulky,8
dcb36b511fcac050b97cd5c05de84dc3,perfumaria,fast,3
f3e7c359154d965827355f39d6b1fdac,papelaria,fast,3
acce194856392f074dbf9dada14d8d82,bebes,standard,5
91b2a010e1e45e6ba3d133fa997597be,relogios_presentes,fast,3
1790eea0b567cf50911c057cf20f90f9,climatizacao,bulky,8
b276e4f8c0fb86bd82fce576f21713e0,perfumaria,fast,3
434d158e96bdd6972ad6e6d73ddcfd22,beleza_saude,fast,3
d22e9fa5731b9e30e8b27afcdc2f8563,papelaria,fast,3
ee64d42b8cf066f35eac1cf57de1aa85,beleza_saude,fast,3
25f4376934e13d3508486352e11a5db0,moveis_decoracao,bulky,8
5820a1100976432c7968a52da59e9364,esporte_lazer,standard,5
47aa4816b27ba60ec948cd019cc1afc1,eletroportateis,standard,5
9faeb9b2746b9d7526aef5acb08e2aa0,esporte_lazer,standard,5
40c5e18f7d112b59b3e5113a59a905b3,perfumaria,fast,3
734e7d1bbaeb2ff82521ca0fe6fb6f79,eletroportateis,standard,5
f346ad4ee8f630e5e4ddaf862a34e6dd,esporte_lazer,standard,5
688052146432ef8253587b930b01a06d,informatica_acessorios,fast,3
68e48e68da1f50f7c5838ea75e3a20dd,automotivo,standard,5
b52cc4919de82b4d696a4380d10804a3,construcao_ferramentas_construcao,bulky,8
fdf128b3630c21adc9ca4fb8a51b68ec,alimentos,standard,5
fa516182d28f96f5f5c651026b0749ee,climatizacao,bulky,8
bd4bd0194d6d29f83b8557d4b89b572a,automotivo,standard,5
6d25592267349b322799e2beb687871e,relogios_presentes,fast,3
9defaf92cff22420e4e8ef7784815a55,fashion_underwear_e_moda_praia,fast,3
0e782c3705510e717d28907746cbda82,telefonia,fast,3
86f21bf63784876b9fd6d35f46581d72,informatica_acessorios,fast,3
f169bd689fb8b32ccd62df9050aebc0b,telefonia,fast,3
77e9941864fc840be8e4b1ba5347c0f7,esporte_lazer,standard,5
41bb5cee06dbf170878a9ef93ac7e7f5,moveis_decoracao,bulky,8
23f553848a03aaab35bb3f9f87725125,bebes,standard,5
e3447938231fb6ba2fee0231b51eca59,utilidades_domesticas,standard,5
a5474c0071dd5d1074e12d417078bbd0,beleza_saude,fast,3
0760a852e4e9d89eb77bf631eaaf1c84,artigos_de_natal,standard,5
80d817467dc3d0a4bb5ab8986c962b1f,papelaria,fast,3
c75acba615d2db29345327974641467d,beleza_saude,fast,3
210e60465099814a1d2c7635e4065153,cool_stuff,standard,5
0c6b011f8a4f87010c23995f5807d152,relogios_presentes,fast,3
e37797aedc7cd4ef82278fbc169eecaf,cama_mesa_banho,bulky,8
5164933efe0cd14f31424b9badf81f19,cama_mesa_banho,bulky,8
65312c6e4ce03c0fb633a4ac541949d8,cama_mesa_banho,bulky,8
89165e6d4c28047da0adf13ac8b3e1b3,beleza_saude,fast,3
4b87488fb6269f8321508923b95da4d6,utilidades_domesticas,standard,5
9344ccd01ff5fa7ec2aef0ee7e1c49c3,papelaria,fast,3
f4471dae8c482f51aa1826cd9f5d4433,esporte_lazer,standard,5
90349f264a3d6a2525a34598d09dda6b,construcao_ferramentas_iluminacao,bulky,8
95cf9f239f724799131f7ca949209bd9,beleza_saude,fast,3
5c2d1d55c31db1cbe069dc9b6454b897,livros_tecnicos,standard,5
14e6e050a57912543937e93051cc7b2c,eletroportateis,standard,5
cefa8ee1540139ac77fa0c1b4ff1f04b,alimentos,standard,5
e69e2290db6b2d3b7593a40112e1a82a,livros_tecnicos,standard,5
c8627adf430caff83161acbeb344d8f5,esporte_lazer,standard,5
a7cd6af6e0519313887b3c3a120f20ca,cama_mesa_banho,bulky,8
663830a477534735bbdec9de01113fa2,eletronicos,fast,3
b2f3763408103bc7173bb36ed02dbeea,cama_mesa_banho,bulky,8
5561adcb0fd46da4cad3048fa4e7fc00,eletrodomesticos,bulky,8
ce9feeba53c652dd6569cca62e2bb287,eletrodomesticos,bulky,8
36ebb4199031e72a1fa964549b88c377,bebes,standard,5
b0928556a10706af462ca2ab2c91903b,informatica_acessorios,fast,3
b6b3633f97c686d8e188ac6fa29ff20d,telefonia,fast,3
6d7de866a140b19d09e825b2a4e944c7,moveis_decoracao,bulky,8
3f849648ffbabb0562c7668f212e3e88,pet_shop,standard,5
7c18eddfcd24680d80a502346221614e,moveis_decoracao,bulky,8
58d4c4747ee059eeeb865b349b41f53a,automotivo,standard,5
287c56aa824d8d1ea40246ad12013f62,beleza_saude,fast,3
694630e7a7713c116a9b7f0ba3377382,moveis_decoracao,bulky,8
412fccb2b44a99b36714bca3fef8ad7b,industria_comercio_e_negocios,standard,5
67b47f35ec923e39f1203f3cfa80f5e3,esporte_lazer,standard,5
b616f638cd86d92c7cbd06cf7484ee34,informatica_acessorios,fast,3
f90202d14e468090464aeb4b1f0372ab,relogios_presentes,fast,3
615ae1b88a25a4ac47fbf55c9c847b6e,cama_mesa_banho,bulky,8
52f166ce5fa053bbb27d317e4fd231b7,bebes,standard,5
908e767e28908dc5ec61fe0ef8ef03f9,beleza_saude,fast,3
c82a457d646f77c8f151e12a3e517ed2,perfumaria,fast,3
edc531c3153d23614049077e7e1e6405,perfumaria,fast,3
1e8c81805b92ff169971231458670460,beleza_saude,fast,3
5ec8f4e8fe5ee3fd5460b244d0804f9e,construcao_ferramentas_seguranca,bulky,8
434d3eec8dd031c322077fb2452e53a0,papelaria,fast,3
3ef7c7b43ae449415675a6c34720b78e,automotivo,standard,5
d86359a45e3f6c6d8b35f7b13e41abf5,relogios_presentes,fast,3
c228d309379c3ae545cc6ca2d5aae1b2,bebidas,standard,5
f419e615bbdeb34741d4bdd661ff8599,moveis_cozinha_area_de_servico_jantar_e_jardim,bulky,8
638f79643fd5681c6e6c6ef1f1ab700d,relogios_presentes,fast,3
86e574a0701d15590bf31783bc7de5dc,moveis_decoracao,bulky,8
f11b36b3bc7bacf06deef862ed611f02,cama_mesa_banho,bulky,8
4eeecb9e657525024b9b538730c5f974,telefonia,fast,3
6f954a919130aa1e8def4ed1b9fca432,automotivo,standard,5
f93af565de05d2427790ad8d0368a80e,beleza_saude,fast,3
3f3913e8c7fd221ac82a34ffa20b93ee,brinquedos,standard,5
955ea2e3177592d909296220d7fcdebd,beleza_saude,fast,3
4bb6e6f5af26e1f5951d934386615406,beleza_saude,fast,3
c4d2f075fc3bf3a06d1e68e113c35cbd,bebes,standard,5
ebc8d4b1397747291b758772e9d87984,cool_stuff,standard,5
5691d72069359cd293ac9a14f1bd5e9b,relogios_presentes,fast,3
884cb4ce4a06390d35206de06f785d13,informatica_acessorios,fast,3
d9cfa4b0f995deb2fa9758d5534e1d13,beleza_saude,fast,3
3b4ad687e7e5190db827e1ae5a8989dd,relogios_presentes,fast,3
0b584b729bdfec204ec2aa5d21d6ca56,esporte_lazer,standard,5
d74d2985a4c187334dc59722076a2e5f,automotivo,standard,5
fb6ba131bbeb30fd6db9c8900b5c5b92,telefonia,fast,3
7ac1f3de2cdc809de6aa1e6719451f53,papelaria,fast,3
aa466a92af916f9f68e56fce7d3a21b1,beleza_saude,fast,3
7d2286ec219f58023352077d938dee48,cool_stuff,standard,5
ec1fc57b72a7bbe5b32f9c606510db76,utilidades_domesticas,standard,5
74c951ce0835b2741d3014321ae9c480,cool_stuff,standard,5
b75b4f6e7c5fe3fa05707992a88d9d38,climatizacao,bulky,8
